two_year_recid,age,sex,priors_count,juv_fel_count,juv_misd_count,c_charge_degree,c_charge_desc,race
yes,69.0,Male,6,0.0,0.0,F,Driving While License Revoked,Caucasian
no,24.0,Male,0,0.0,0.0,M,Battery,Asian
yes,21.0,Male,3,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
no,28.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Hispanic
yes,47.0,Male,23,0.0,0.0,F,Poss Wep Conv Felon,African-American
no,59.0,Male,1,0.0,0.0,F,Possession Of Alprazolam,Other
yes,29.0,Male,13,0.0,1.0,F,Poss Pyrrolidinovalerophenone,African-American
yes,36.0,Male,14,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
yes,26.0,Male,9,0.0,0.0,F,Drivg While Lic Suspd/Revk/Can,African-American
no,31.0,Male,0,0.0,0.0,M,Viol Prot Injunc Repeat Viol,Other
yes,32.0,Male,8,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,27.0,Female,3,0.0,0.0,F,arrest case no charge,Caucasian
no,28.0,Male,0,0.0,0.0,F,"Deliver 3,4 Methylenediox",Caucasian
yes,48.0,Male,1,0.0,0.0,M,Driving Under The Influence,Caucasian
yes,23.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,44.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,42.0,Male,7,0.0,0.0,M,Driving License Suspended,African-American
no,39.0,Male,5,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,46.0,Female,2,0.0,0.0,F,Grand Theft in the 3rd Degree,Hispanic
no,55.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,27.0,Male,5,0.0,0.0,F,Burglary Dwelling Occupied,African-American
no,31.0,Female,0,0.0,0.0,M,Battery,Caucasian
no,25.0,Male,0,0.0,0.0,F,Poss Tetrahydrocannabinols,African-American
no,32.0,Male,6,0.0,0.0,M,Refuse Submit Blood/Breath Test,Caucasian
no,36.0,Male,2,0.0,0.0,F,Driving While License Revoked,African-American
yes,21.0,Male,3,0.0,0.0,F,arrest case no charge,African-American
no,39.0,Male,2,0.0,0.0,M,Driving Under The Influence,Caucasian
no,26.0,Female,0,0.0,0.0,M,Battery,African-American
yes,28.0,Male,8,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,67.0,Male,2,0.0,0.0,M,Refuse Submit Blood/Breath Test,Caucasian
no,22.0,Female,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,Other
no,37.0,Male,3,0.0,0.0,M,Driving Under The Influence,Caucasian
yes,23.0,Male,2,0.0,0.0,M,Criminal Mischief,African-American
yes,49.0,Female,14,0.0,0.0,M,Battery,African-American
yes,32.0,Male,9,0.0,0.0,M,Trespass Other Struct/Conve,Caucasian
no,41.0,Male,9,0.0,0.0,M,Battery,Caucasian
no,25.0,Male,1,0.0,0.0,M,Battery,African-American
no,57.0,Female,3,0.0,0.0,F,Battery on Law Enforc Officer,Caucasian
no,58.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,44.0,Male,19,2.0,0.0,M,Battery,African-American
no,28.0,Male,1,0.0,0.0,F,Aggrav Stalking After Injunctn,African-American
yes,39.0,Female,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,54.0,Male,0,0.0,0.0,F,Agg Battery Grt/Bod/Harm,Caucasian
yes,21.0,Male,0,0.0,0.0,M,Battery,Hispanic
no,43.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
no,31.0,Male,5,0.0,0.0,M,Battery,African-American
no,30.0,Male,11,4.0,1.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,27.0,Male,4,0.0,1.0,M,Battery,Caucasian
yes,28.0,Male,0,0.0,0.0,M,Battery,African-American
no,24.0,Male,0,0.0,0.0,M,Possess Drug Paraphernalia,African-American
no,43.0,Male,0,0.0,0.0,M,Susp Drivers Lic 1st Offense,Caucasian
yes,44.0,Male,10,0.0,0.0,M,Driving Under The Influence,African-American
no,51.0,Male,4,0.0,0.0,F,arrest case no charge,African-American
yes,24.0,Male,11,0.0,0.0,F,Solicit Deliver Cocaine,Hispanic
no,31.0,Male,1,0.0,0.0,F,Attempt Burglary (Struct),African-American
no,23.0,Male,0,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,26.0,Male,8,2.0,1.0,M,Prowling/Loitering,African-American
yes,36.0,Male,5,0.0,0.0,M,Viol Injunct Domestic Violence,Caucasian
no,27.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,24.0,Male,0,0.0,0.0,F,Felon in Pos of Firearm or Amm,African-American
no,66.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,36.0,Female,3,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,53.0,Male,9,0.0,0.0,F,Felony Petit Theft,Hispanic
yes,23.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,22.0,Female,0,0.0,0.0,M,Battery,African-American
no,25.0,Male,1,0.0,0.0,F,Crimin Mischief Damage $1000+,Hispanic
no,56.0,Male,4,0.0,0.0,F,Possession of Cocaine,African-American
no,29.0,Male,1,0.0,0.0,F,Possession of Cocaine,Native American
yes,29.0,Male,10,0.0,0.0,F,arrest case no charge,Caucasian
yes,51.0,Male,1,0.0,0.0,F,arrest case no charge,Asian
no,58.0,Female,3,0.0,0.0,M,arrest case no charge,African-American
no,24.0,Male,3,0.0,1.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
yes,22.0,Male,0,0.0,0.0,F,Burglary Dwelling Armed,African-American
no,39.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,20.0,Male,3,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,Hispanic
yes,46.0,Male,10,0.0,0.0,F,arrest case no charge,Caucasian
yes,38.0,Male,1,0.0,0.0,F,Possession Of Methamphetamine,Caucasian
yes,23.0,Male,0,0.0,0.0,M,Viol Pretrial Release Dom Viol,Caucasian
no,39.0,Male,6,0.0,0.0,F,Burglary Unoccupied Dwelling,Other
no,25.0,Male,0,0.0,0.0,F,Felony Battery,African-American
yes,31.0,Male,19,0.0,0.0,F,Driving While License Revoked,African-American
yes,25.0,Female,1,0.0,0.0,M,Battery,African-American
no,26.0,Male,6,0.0,0.0,F,arrest case no charge,African-American
no,25.0,Male,2,0.0,0.0,F,Possession Burglary Tools,African-American
yes,37.0,Male,11,0.0,0.0,F,Driving While License Revoked,Caucasian
no,36.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,26.0,Male,1,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,21.0,Male,3,0.0,2.0,F,Grand Theft in the 3rd Degree,Other
yes,35.0,Male,7,0.0,0.0,F,Resist Officer w/Violence,African-American
yes,22.0,Male,2,0.0,0.0,F,Crim Use of Personal ID Info,African-American
no,25.0,Male,0,0.0,0.0,F,Aggravated Battery,Caucasian
no,24.0,Male,0,0.0,0.0,M,Crim Attempt/Solicit/Consp,Caucasian
no,36.0,Male,0,0.0,0.0,M,Operating W/O Valid License,Hispanic
yes,24.0,Male,2,0.0,0.0,M,Susp Drivers Lic 1st Offense,African-American
yes,21.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,32.0,Male,15,2.0,0.0,F,Possession of Cocaine,Caucasian
yes,33.0,Male,2,0.0,0.0,M,Battery,African-American
yes,33.0,Male,10,0.0,0.0,F,Possession of Cocaine,African-American
yes,23.0,Female,4,0.0,0.0,M,arrest case no charge,African-American
no,29.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
no,50.0,Male,8,0.0,0.0,F,DWI w/Inj Susp Lic / Habit Off,Caucasian
yes,32.0,Male,5,0.0,0.0,F,arrest case no charge,Caucasian
yes,33.0,Male,14,0.0,0.0,F,Driving While License Revoked,African-American
yes,37.0,Male,13,0.0,1.0,F,Agg Battery Grt/Bod/Harm,African-American
yes,27.0,Male,9,0.0,0.0,F,Burglary Unoccupied Dwelling,African-American
no,27.0,Male,0,0.0,0.0,M,Battery,African-American
yes,52.0,Female,21,0.0,0.0,F,Felony Petit Theft,African-American
yes,21.0,Male,1,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Hispanic
no,58.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
no,27.0,Male,4,0.0,0.0,F,"Deliver 3,4 Methylenediox",African-American
yes,28.0,Male,5,0.0,0.0,F,Aggravated Assault W/o Firearm,African-American
yes,28.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
no,31.0,Female,0,0.0,0.0,M,Battery,Caucasian
yes,30.0,Male,11,0.0,1.0,F,arrest case no charge,Caucasian
no,24.0,Male,3,0.0,0.0,M,arrest case no charge,African-American
yes,26.0,Male,6,0.0,0.0,F,Possession of Cannabis,African-American
no,43.0,Male,0,0.0,0.0,M,DUI- Enhanced,Caucasian
yes,31.0,Male,2,0.0,0.0,F,Crim Use of Personal ID Info,African-American
yes,22.0,Male,3,0.0,0.0,F,Felony Batt(Great Bodily Harm),African-American
no,23.0,Male,0,0.0,0.0,F,Burglary Unoccupied Dwelling,African-American
no,42.0,Male,0,0.0,0.0,M,Driving Under The Influence,Caucasian
yes,34.0,Male,0,0.0,0.0,M,arrest case no charge,African-American
no,30.0,Male,18,0.0,3.0,M,Battery,African-American
no,29.0,Male,1,0.0,0.0,F,False Imprisonment,African-American
yes,38.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,26.0,Male,3,0.0,0.0,M,Petit Theft $100- $300,Caucasian
yes,25.0,Female,4,0.0,0.0,F,arrest case no charge,Hispanic
no,51.0,Male,5,0.0,0.0,M,Driving License Suspended,African-American
no,36.0,Male,0,0.0,0.0,M,Battery,Other
no,62.0,Male,0,0.0,0.0,M,Battery,Hispanic
yes,23.0,Male,0,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
yes,34.0,Male,7,0.0,0.0,F,arrest case no charge,African-American
no,35.0,Male,1,0.0,0.0,M,Violation License Restrictions,African-American
no,22.0,Male,0,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",Caucasian
yes,29.0,Male,10,0.0,0.0,M,Assault,African-American
no,40.0,Male,0,0.0,0.0,F,Stalking (Aggravated),African-American
no,36.0,Male,2,0.0,0.0,F,Possession of Cocaine,African-American
yes,26.0,Male,8,0.0,0.0,F,arrest case no charge,African-American
yes,25.0,Male,1,0.0,0.0,F,Burglary Structure Unoccup,African-American
no,69.0,Male,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
no,27.0,Male,1,0.0,1.0,F,Grand Theft in the 3rd Degree,African-American
yes,20.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
no,27.0,Male,1,0.0,0.0,F,Throw Deadly Missile Into Veh,African-American
no,24.0,Female,6,0.0,0.0,M,arrest case no charge,African-American
no,42.0,Male,0,0.0,0.0,F,Aggravated Assault w/Firearm,Caucasian
no,25.0,Male,1,0.0,0.0,F,Burglary Conveyance Unoccup,Caucasian
yes,46.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
no,25.0,Male,0,0.0,0.0,F,Uttering a Forged Instrument,African-American
no,22.0,Male,0,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
no,21.0,Male,0,0.0,0.0,F,Burglary Structure Unoccup,Caucasian
no,30.0,Male,1,0.0,0.0,M,Battery,African-American
no,46.0,Male,9,0.0,0.0,M,Battery,Caucasian
no,26.0,Male,2,0.0,0.0,M,Battery,African-American
yes,33.0,Male,0,0.0,0.0,F,arrest case no charge,African-American
no,40.0,Male,1,0.0,0.0,M,Battery,African-American
no,34.0,Male,0,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,22.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
no,28.0,Male,3,0.0,0.0,M,arrest case no charge,Hispanic
yes,31.0,Male,4,0.0,0.0,M,Assault,African-American
yes,59.0,Male,3,0.0,0.0,M,Driving Under The Influence,Caucasian
no,37.0,Male,0,0.0,0.0,F,"Aggr Child Abuse-Torture,Punish",Native American
no,50.0,Male,0,0.0,0.0,F,Aggravated Battery / Pregnant,African-American
yes,21.0,Female,2,0.0,0.0,F,Neglect Child / No Bodily Harm,Other
yes,57.0,Male,8,0.0,0.0,F,Felony Battery w/Prior Convict,African-American
no,31.0,Male,5,0.0,0.0,M,Assault,African-American
no,51.0,Female,1,0.0,0.0,M,Battery,African-American
no,44.0,Male,9,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,48.0,Male,5,0.0,0.0,F,Possession of Cocaine,African-American
no,25.0,Female,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Caucasian
no,51.0,Male,5,0.0,0.0,M,arrest case no charge,African-American
yes,50.0,Male,0,0.0,0.0,F,arrest case no charge,Caucasian
no,57.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,55.0,Male,0,0.0,0.0,M,DUI - Enhanced,Caucasian
yes,59.0,Male,4,0.0,0.0,F,Possession of Cocaine,African-American
no,42.0,Female,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,African-American
yes,20.0,Male,2,2.0,0.0,F,arrest case no charge,Hispanic
no,58.0,Male,16,0.0,0.0,F,Felony Petit Theft,African-American
no,21.0,Male,0,0.0,0.0,F,Purchase Cannabis,Other
yes,32.0,Male,21,0.0,0.0,F,Felony Petit Theft,African-American
no,24.0,Female,0,0.0,0.0,M,Battery,Hispanic
no,42.0,Male,1,0.0,0.0,F,Tampering With Physical Evidence,African-American
yes,29.0,Male,8,0.0,0.0,F,arrest case no charge,African-American
no,21.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
yes,31.0,Male,1,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
no,56.0,Male,8,0.0,0.0,M,Driving License Suspended,Hispanic
no,58.0,Male,0,0.0,0.0,M,DUI Blood Alcohol Above 0.20,Caucasian
yes,22.0,Male,1,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,46.0,Male,1,0.0,0.0,M,Battery,Caucasian
yes,50.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,46.0,Male,2,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,44.0,Female,11,0.0,1.0,F,Possession of Cocaine,African-American
no,35.0,Male,4,0.0,0.0,M,Battery,African-American
yes,30.0,Male,14,0.0,1.0,F,Grand Theft (Motor Vehicle),African-American
no,42.0,Male,2,0.0,0.0,F,Possession of Cocaine,African-American
yes,46.0,Male,5,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
yes,42.0,Male,0,0.0,0.0,F,Poss Pyrrolidinovalerophenone,African-American
no,37.0,Male,12,0.0,0.0,F,arrest case no charge,African-American
yes,29.0,Male,7,0.0,0.0,F,Aggravated Battery / Pregnant,Caucasian
no,32.0,Male,8,0.0,0.0,F,Aggravated Battery / Pregnant,African-American
no,31.0,Male,5,0.0,0.0,F,Grand Theft in the 3rd Degree,Other
no,33.0,Female,1,0.0,0.0,M,Battery,African-American
no,25.0,Male,4,0.0,0.0,F,Robbery / No Weapon,Caucasian
no,33.0,Female,0,0.0,0.0,M,Battery,African-American
no,21.0,Male,1,0.0,0.0,F,arrest case no charge,Hispanic
no,64.0,Female,7,0.0,0.0,M,Expired DL More Than 6 Months,Caucasian
yes,35.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
no,56.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
yes,38.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,40.0,Female,4,0.0,0.0,M,arrest case no charge,African-American
no,34.0,Male,3,0.0,0.0,F,arrest case no charge,African-American
no,28.0,Male,4,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,51.0,Male,0,0.0,0.0,M,Battery,African-American
no,35.0,Male,2,0.0,0.0,M,Battery,African-American
no,61.0,Male,5,0.0,0.0,F,Possession of Cocaine,African-American
no,25.0,Male,0,0.0,0.0,F,Poss Unlaw Issue Driver Licenc,African-American
yes,25.0,Male,4,0.0,0.0,F,Felony Driving While Lic Suspd,African-American
no,26.0,Male,0,0.0,0.0,M,Petit Theft,African-American
no,42.0,Male,1,0.0,0.0,M,Battery,Caucasian
no,25.0,Female,1,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,26.0,Male,13,0.0,1.0,M,Driving License Suspended,African-American
no,31.0,Male,9,0.0,0.0,F,Poss of Methylethcathinone,African-American
no,35.0,Male,1,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,41.0,Female,4,0.0,0.0,F,arrest case no charge,African-American
no,34.0,Male,0,0.0,0.0,F,Lewd/Lasc Battery Pers 12+/<16,Caucasian
no,46.0,Male,5,0.0,0.0,M,arrest case no charge,Caucasian
no,33.0,Female,1,0.0,0.0,M,Battery,Caucasian
no,30.0,Male,3,0.0,0.0,F,Carrying Concealed Firearm,African-American
no,50.0,Female,7,0.0,0.0,M,Battery,African-American
no,21.0,Male,0,0.0,0.0,F,Burglary Dwelling Armed,African-American
yes,31.0,Male,16,0.0,0.0,F,Burglary Conveyance Unoccup,Hispanic
yes,31.0,Male,2,0.0,0.0,F,"Poss 3,4 MDMA (Ecstasy)",African-American
no,23.0,Female,0,0.0,0.0,M,Battery,African-American
no,25.0,Male,1,0.0,0.0,F,Burglary Conveyance Unoccup,African-American
no,24.0,Female,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,31.0,Male,13,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,African-American
no,60.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,30.0,Male,2,0.0,0.0,F,arrest case no charge,African-American
no,32.0,Female,0,0.0,0.0,M,Battery,Other
no,46.0,Male,0,0.0,0.0,M,Driving Under The Influence,Caucasian
yes,21.0,Male,0,0.0,0.0,M,Battery,Caucasian
no,28.0,Male,6,4.0,0.0,M,Disorderly Intoxication,African-American
no,35.0,Male,0,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,34.0,Male,2,0.0,0.0,F,Use of Anti-Shoplifting Device,Hispanic
yes,41.0,Male,2,0.0,0.0,F,Felony Petit Theft,Asian
no,40.0,Female,7,0.0,0.0,M,Prostitution/Lewd Act Assignation,African-American
yes,23.0,Male,1,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,23.0,Male,3,0.0,0.0,F,Grand Theft in the 3rd Degree,African-American
no,28.0,Male,2,0.0,0.0,M,Resist/Obstruct W/O Violence,African-American
yes,21.0,Male,0,0.0,0.0,F,Possession Of Alprazolam,Hispanic
no,46.0,Male,2,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Caucasian
no,56.0,Male,1,0.0,0.0,F,arrest case no charge,African-American
no,41.0,Male,19,0.0,0.0,F,Driving While License Revoked,African-American
yes,40.0,Male,8,0.0,0.0,F,Possession of Cocaine,Hispanic
yes,30.0,Male,5,0.0,0.0,F,arrest case no charge,Hispanic
yes,24.0,Male,1,0.0,0.0,M,Battery,African-American
no,25.0,Male,7,0.0,0.0,F,Att Burgl Unoccupied Dwel,African-American
no,33.0,Female,0,0.0,0.0,M,Battery,Caucasian
no,48.0,Male,2,0.0,0.0,M,arrest case no charge,Caucasian
yes,33.0,Male,11,0.0,0.0,F,"Poss 3,4 MDMA (Ecstasy)",African-American
no,25.0,Male,0,0.0,0.0,F,Poss Contr Subst W/o Prescript,Hispanic
yes,25.0,Male,6,0.0,0.0,F,False Ownership Info/Pawn Item,Caucasian
yes,58.0,Male,38,0.0,0.0,F,Felony Petit Theft,African-American
yes,30.0,Male,7,0.0,1.0,F,Possess Countrfeit Credit Card,African-American
yes,37.0,Male,0,0.0,0.0,F,Tamper With Witness/Victim/CI,Hispanic
no,43.0,Female,7,0.0,0.0,F,Agg Battery Grt/Bod/Harm,Caucasian
no,32.0,Male,0,0.0,0.0,F,Driving While License Revoked,Caucasian
no,33.0,Male,3,0.0,0.0,F,arrest case no charge,Other
yes,39.0,Male,4,0.0,1.0,F,Poss Pyrrolidinovalerophenone,Other
no,49.0,Male,4,0.0,0.0,F,Aggravated Assault w/Firearm,Caucasian
no,24.0,Male,0,0.0,0.0,F,Robbery W/Deadly Weapon,Caucasian
no,26.0,Male,1,0.0,0.0,F,Grand Theft (Motor Vehicle),African-American
no,42.0,Male,0,0.0,0.0,F,Aggrav Battery w/Deadly Weapon,Caucasian
yes,22.0,Male,1,0.0,0.0,F,Burglary Unoccupied Dwelling,African-American
no,36.0,Male,0,0.0,0.0,F,Grand Theft in the 3rd Degree,Hispanic
yes,29.0,Male,7,0.0,0.0,M,Battery,Caucasian
no,39.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,27.0,Male,13,0.0,2.0,F,arrest case no charge,African-American
yes,38.0,Male,2,0.0,0.0,F,Possession of Cocaine,Caucasian
yes,20.0,Male,0,0.0,0.0,F,Burglary Conveyance Unoccup,Caucasian
yes,25.0,Male,4,2.0,0.0,F,arrest case no charge,African-American
no,53.0,Male,0,0.0,0.0,M,Battery,Caucasian
yes,27.0,Female,0,0.0,0.0,M,Battery,African-American
yes,21.0,Male,0,0.0,0.0,F,Burglary Structure Unoccup,Other
yes,50.0,Male,1,0.0,0.0,M,Viol Injunct Domestic Violence,Caucasian
no,41.0,Male,4,0.0,0.0,F,Child Abuse,African-American
yes,34.0,Male,4,0.0,0.0,F,Aggravated Battery / Pregnant,African-American
yes,22.0,Male,5,0.0,0.0,F,Possession Of Alprazolam,Caucasian
yes,22.0,Male,0,0.0,0.0,F,Grand Theft (Motor Vehicle),Caucasian
no,25.0,Male,2,0.0,0.0,F,Pos Cannabis W/Intent Sel/Del,African-American
yes,42.0,Male,1,0.0,0.0,F,Felony Driving While Lic Suspd,African-American
no,27.0,Female,2,0.0,0.0,F,Possession Of Heroin,Caucasian
no,51.0,Male,2,0.0,0.0,F,arrest case no charge,Other
yes,33.0,Male,23,0.0,0.0,F,arrest case no charge,African-American
no,24.0,Male,0,0.0,0.0,F,Possession of Cannabis,African-American
no,37.0,Male,4,0.0,0.0,F,arrest case no charge,African-American
no,37.0,Male,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,Caucasian
no,27.0,Female,0,0.0,0.0,M,Battery,Other
no,21.0,Male,0,0.0,0.0,F,Robbery / No Weapon,Other
yes,35.0,Male,1,0.0,0.0,F,Aggravated Battery / Pregnant,African-American
no,24.0,Female,0,0.0,0.0,F,Possession of Cocaine,Caucasian
no,21.0,Male,1,1.0,0.0,F,arrest case no charge,Other
no,49.0,Male,2,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
no,38.0,Male,9,0.0,0.0,F,arrest case no charge,African-American
no,61.0,Male,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,Other
no,30.0,Female,0,0.0,0.0,M,Battery,African-American
no,22.0,Male,3,0.0,0.0,F,Battery on a Person Over 65,African-American
yes,25.0,Male,0,0.0,0.0,F,Poss Counterfeit Payment Inst,African-American
yes,30.0,Female,3,0.0,0.0,M,Battery,Hispanic
no,52.0,Male,0,0.0,0.0,M,Driving Under The Influence,Caucasian
no,26.0,Male,0,0.0,0.0,F,Aggravated Battery / Pregnant,Caucasian
no,26.0,Male,0,0.0,0.0,M,Battery,Other
no,29.0,Male,6,0.0,1.0,F,Felon in Pos of Firearm or Amm,African-American
yes,45.0,Male,9,0.0,0.0,F,Felony Petit Theft,Caucasian
yes,20.0,Male,0,0.0,0.0,F,arrest case no charge,African-American
no,29.0,Male,4,0.0,0.0,F,arrest case no charge,African-American
yes,43.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
no,26.0,Male,2,0.0,0.0,F,D.U.I. Serious Bodily Injury,Caucasian
no,46.0,Female,4,0.0,0.0,F,arrest case no charge,African-American
no,46.0,Female,0,0.0,0.0,F,Felony Driving While Lic Suspd,African-American
no,39.0,Male,8,0.0,0.0,F,Aggravated Assault W/dead Weap,Caucasian
yes,29.0,Male,12,0.0,0.0,F,Possession of Cocaine,African-American
no,41.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
yes,29.0,Male,11,0.0,0.0,F,arrest case no charge,African-American
no,25.0,Female,5,0.0,0.0,F,Poss Anti-Shoplifting Device,African-American
no,23.0,Male,2,1.0,0.0,F,Deliver Cocaine,African-American
yes,46.0,Female,1,0.0,0.0,F,arrest case no charge,African-American
no,30.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
no,34.0,Male,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,70.0,Male,11,0.0,0.0,F,Possession of Cocaine,Caucasian
no,52.0,Male,2,0.0,0.0,F,arrest case no charge,Caucasian
no,51.0,Male,4,0.0,0.0,M,Susp Drivers Lic 1st Offense,African-American
yes,45.0,Female,15,0.0,0.0,F,Driving While License Revoked,Native American
yes,55.0,Male,21,0.0,0.0,F,Felony Battery w/Prior Convict,African-American
no,49.0,Female,1,0.0,0.0,F,arrest case no charge,Caucasian
yes,26.0,Female,9,0.0,0.0,M,Driving License Suspended,African-American
no,47.0,Female,0,0.0,0.0,F,Battery on Law Enforc Officer,Caucasian
no,27.0,Male,0,0.0,0.0,M,Battery,African-American
yes,25.0,Male,5,0.0,2.0,M,DUI Level 0.15 Or Minor In Veh,Caucasian
yes,21.0,Male,1,0.0,1.0,F,arrest case no charge,African-American
yes,37.0,Male,26,0.0,0.0,F,Driving While License Revoked,African-American
yes,21.0,Male,1,0.0,0.0,F,Possession of Cocaine,African-American
no,21.0,Male,0,0.0,0.0,F,Burglary Structure Unoccup,African-American
yes,25.0,Male,4,0.0,0.0,F,Possession of Cocaine,African-American
yes,27.0,Female,3,0.0,0.0,F,Neglect Child / Bodily Harm,African-American
yes,30.0,Male,3,0.0,0.0,F,Crimin Mischief Damage $1000+,Caucasian
no,70.0,Male,0,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
yes,37.0,Male,11,0.0,0.0,F,Deliver Cannabis,Caucasian
yes,46.0,Male,5,0.0,0.0,F,Agg Fleeing and Eluding,African-American
yes,40.0,Male,4,0.0,0.0,M,Battery,Other
yes,20.0,Male,1,1.0,0.0,F,Grand Theft in the 3rd Degree,African-American
yes,43.0,Male,18,0.0,0.0,F,arrest case no charge,African-American
no,38.0,Male,15,0.0,0.0,F,Aggravated Assault w/Firearm,African-American
no,29.0,Male,0,0.0,0.0,F,Crim Use of Personal ID Info,African-American
yes,37.0,Male,8,0.0,0.0,M,Opert With Susp DL 2nd Offens,African-American
no,38.0,Male,3,0.0,0.0,F,Possession of Cocaine,Hispanic
no,27.0,Female,0,0.0,0.0,F,Possession of Cannabis,Caucasian
yes,20.0,Female,0,0.0,0.0,M,Aggravated Assault W/Dead Weap,Other
no,44.0,Male,0,0.0,0.0,M,Driving Under The Influence,Hispanic
no,31.0,Male,6,0.0,0.0,M,Battery,Caucasian
yes,29.0,Male,3,0.0,0.0,F,arrest case no charge,African-American
yes,48.0,Male,13,0.0,0.0,F,Child Abuse,Caucasian
no,30.0,Female,0,0.0,0.0,M,Battery,African-American
yes,25.0,Female,2,0.0,0.0,F,arrest case no charge,Caucasian
no,40.0,Male,3,0.0,0.0,F,Driving While License Revoked,African-American
no,49.0,Female,3,0.0,0.0,F,Resist Officer w/Violence,Caucasian
no,33.0,Male,1,0.0,0.0,M,Susp Drivers Lic 1st Offense,Caucasian
yes,26.0,Male,5,0.0,0.0,F,Threat Public Servant,Caucasian
no,31.0,Male,1,0.0,1.0,M,Possess Cannabis/20 Grams Or Less,Hispanic
no,61.0,Male,1,0.0,0.0,M,DUI Property Damage/Injury,Caucasian
no,30.0,Male,2,0.0,0.0,F,Use Of 2 Way Device To Fac Fel,Caucasian
no,62.0,Male,0,0.0,0.0,M,Assault,Caucasian
